Datetime,Symbl,Price
2023-09-26 10:52:02.283920,^NSEI,19679.25
2023-09-26 10:52:03.476081,^NSEI,19679.0
2023-09-26 10:52:04.856493,^NSEI,19679.150390625
2023-09-26 10:52:06.168692,^NSEI,19680.400390625
2023-09-26 10:52:07.473670,^NSEI,19678.900390625
2023-09-26 10:52:08.636085,^NSEI,19678.099609375
2023-09-26 10:52:09.983866,^NSEI,19678.75
2023-09-26 10:52:11.311541,^NSEI,19678.650390625
2023-09-26 10:52:12.560137,^NSEI,19677.849609375
2023-09-26 10:52:13.745296,^NSEI,19678.099609375
2023-09-26 10:52:15.067858,^NSEI,19678.099609375
2023-09-26 10:52:16.390005,^NSEI,19678.75
2023-09-26 10:52:17.821708,^NSEI,19678.650390625
2023-09-26 10:52:19.163103,^NSEI,19678.150390625
2023-09-26 10:52:20.565522,^NSEI,19678.150390625
2023-09-26 10:52:21.862232,^NSEI,19678.0
2023-09-26 10:52:23.188386,^NSEI,19678.25
2023-09-26 10:52:24.598871,^NSEI,19677.900390625
2023-09-26 10:52:25.937613,^NSEI,19678.05078125
2023-09-26 10:52:27.288484,^NSEI,19678.05078125
2023-09-26 10:52:28.565670,^NSEI,19677.75
2023-09-26 10:52:29.955425,^NSEI,19677.75
2023-09-26 10:52:31.269775,^NSEI,19676.94921875
2023-09-26 10:52:32.591085,^NSEI,19676.94921875
2023-09-26 10:52:33.867937,^NSEI,19676.849609375
2023-09-26 10:52:35.173736,^NSEI,19676.25
2023-09-26 10:52:36.437718,^NSEI,19676.44921875
2023-09-26 10:52:37.789796,^NSEI,19676.099609375
2023-09-26 10:52:38.981688,^NSEI,19676.400390625
2023-09-26 10:52:40.239686,^NSEI,19676.19921875
2023-09-26 10:52:41.547872,^NSEI,19676.599609375
2023-09-26 10:52:42.811402,^NSEI,19676.25
2023-09-26 10:52:44.012672,^NSEI,19674.849609375
2023-09-26 10:52:45.297683,^NSEI,19674.849609375
2023-09-26 10:52:46.488005,^NSEI,19673.55078125
2023-09-26 10:52:47.793019,^NSEI,19673.30078125
2023-09-26 10:52:48.982900,^NSEI,19673.599609375
2023-09-26 10:52:50.321002,^NSEI,19673.0
2023-09-26 10:52:51.607250,^NSEI,19672.849609375
2023-09-26 10:52:52.897711,^NSEI,19673.099609375
2023-09-26 10:52:54.172078,^NSEI,19672.44921875
2023-09-26 10:52:55.548791,^NSEI,19672.0
2023-09-26 10:52:56.832102,^NSEI,19671.349609375
2023-09-26 10:52:57.944246,^NSEI,19673.55078125
2023-09-26 10:52:59.189925,^NSEI,19673.19921875
2023-09-26 10:53:00.413804,^NSEI,19673.599609375
2023-09-26 10:53:01.713196,^NSEI,19673.05078125
2023-09-26 10:53:02.974709,^NSEI,19671.849609375
2023-09-26 10:53:04.189301,^NSEI,19672.69921875
2023-09-26 10:53:05.473174,^NSEI,19671.69921875
2023-09-26 10:53:06.803279,^NSEI,19672.05078125
2023-09-26 10:53:08.078409,^NSEI,19672.5
2023-09-26 10:53:09.375411,^NSEI,19673.599609375
2023-09-26 10:53:10.663074,^NSEI,19672.900390625
2023-09-26 10:53:11.991900,^NSEI,19673.349609375
2023-09-26 10:53:13.298954,^NSEI,19674.650390625
2023-09-26 10:53:14.682956,^NSEI,19675.150390625
2023-09-26 10:53:15.953781,^NSEI,19675.94921875
2023-09-26 10:53:17.268364,^NSEI,19676.05078125
2023-09-26 10:53:18.576137,^NSEI,19676.650390625
2023-09-26 10:53:19.684551,^NSEI,19675.599609375
2023-09-26 10:53:20.851111,^NSEI,19676.150390625
2023-09-26 10:53:22.175141,^NSEI,19675.44921875
2023-09-26 10:53:23.657136,^NSEI,19676.650390625
2023-09-26 10:53:25.074343,^NSEI,19676.44921875
2023-09-26 10:53:26.377693,^NSEI,19676.19921875
2023-09-26 10:53:27.656482,^NSEI,19676.19921875
2023-09-26 10:53:28.872485,^NSEI,19675.94921875
2023-09-26 10:53:30.167044,^NSEI,19675.94921875
2023-09-26 10:53:31.447373,^NSEI,19675.69921875
2023-09-26 10:53:32.748363,^NSEI,19676.55078125
2023-09-26 10:53:34.139235,^NSEI,19676.55078125
2023-09-26 10:53:35.444773,^NSEI,19676.5
2023-09-26 10:53:36.697709,^NSEI,19676.650390625
2023-09-26 10:53:38.130816,^NSEI,19676.599609375
2023-09-26 10:53:39.419212,^NSEI,19675.849609375
2023-09-26 10:53:40.746748,^NSEI,19675.849609375
2023-09-26 10:53:42.025767,^NSEI,19675.30078125
2023-09-26 10:53:43.385332,^NSEI,19675.44921875
2023-09-26 10:53:44.665661,^NSEI,19675.0
2023-09-26 10:53:45.925688,^NSEI,19675.25
2023-09-26 10:53:47.267572,^NSEI,19674.849609375
2023-09-26 10:53:48.539561,^NSEI,19674.94921875
2023-09-26 10:53:49.837688,^NSEI,19674.349609375
2023-09-26 10:53:51.126012,^NSEI,19674.349609375
2023-09-26 10:53:52.398167,^NSEI,19674.349609375
2023-09-26 10:53:53.679387,^NSEI,19675.150390625
2023-09-26 10:53:55.074077,^NSEI,19675.099609375
2023-09-26 10:53:56.414164,^NSEI,19674.25
2023-09-26 10:53:57.723668,^NSEI,19674.5
2023-09-26 10:53:59.215264,^NSEI,19673.849609375
2023-09-26 10:54:00.579845,^NSEI,19673.80078125
2023-09-26 10:54:01.859998,^NSEI,19674.05078125
2023-09-26 10:54:03.177727,^NSEI,19674.150390625
2023-09-26 10:54:04.506338,^NSEI,19674.25
2023-09-26 10:54:05.933711,^NSEI,19674.19921875
2023-09-26 10:54:07.229723,^NSEI,19673.599609375
2023-09-26 10:54:08.619329,^NSEI,19673.30078125
2023-09-26 10:54:09.921250,^NSEI,19674.30078125
2023-09-26 10:54:11.226166,^NSEI,19674.849609375
2023-09-26 10:54:12.479050,^NSEI,19674.599609375
2023-09-26 10:54:13.792644,^NSEI,19674.25
2023-09-26 10:54:15.010587,^NSEI,19674.94921875
2023-09-26 10:54:16.285701,^NSEI,19673.80078125
2023-09-26 10:54:17.689669,^NSEI,19674.849609375
2023-09-26 10:54:19.097710,^NSEI,19674.849609375
2023-09-26 10:54:20.366162,^NSEI,19675.099609375
2023-09-26 10:54:21.631714,^NSEI,19675.349609375
2023-09-26 10:54:22.989702,^NSEI,19676.0
2023-09-26 10:54:24.238795,^NSEI,19675.25
2023-09-26 10:54:25.534112,^NSEI,19675.44921875
2023-09-26 10:54:26.809787,^NSEI,19676.150390625
2023-09-26 10:54:28.107940,^NSEI,19676.25
2023-09-26 10:54:29.401660,^NSEI,19676.599609375
2023-09-26 10:54:30.637014,^NSEI,19676.599609375
2023-09-26 10:54:31.989661,^NSEI,19676.0
2023-09-26 10:54:33.281048,^NSEI,19676.0
2023-09-26 10:54:34.612900,^NSEI,19675.55078125
2023-09-26 10:54:35.792018,^NSEI,19676.099609375
2023-09-26 10:54:37.078713,^NSEI,19676.349609375
2023-09-26 10:54:38.241687,^NSEI,19676.44921875
2023-09-26 10:54:39.552579,^NSEI,19676.69921875
2023-09-26 10:54:40.878935,^NSEI,19676.80078125
2023-09-26 10:54:42.217667,^NSEI,19676.94921875
